uuid,adm4_pcode,date,freq,pct_area_flood_hazard_100yr_low,pct_area_flood_hazard_100yr_med,pct_area_flood_hazard_100yr_high,pct_area_flood_hazard_25yr_low,pct_area_flood_hazard_25yr_med,pct_area_flood_hazard_25yr_high,pct_area_flood_hazard_5yr_low,pct_area_flood_hazard_5yr_med,pct_area_flood_hazard_5yr_high,pct_area_landslide_hazard_low,pct_area_landslide_hazard_med,pct_area_landslide_hazard_high,adm1_en,adm1_pcode,adm2_en,adm2_pcode,adm3_en,adm3_pcode,adm4_en,brgy_total_area
PNHZD00026B,PH137401012,2015-01-01,S,18.3986,2.3757,0.0,14.9394,1.0462,0.0,11.7975,0.4185,0.0,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Harapin Ang Bukas,0.0478
PNHZD00026C,PH137401026,2015-01-01,S,31.1832,9.1372,14.2231,27.857,6.5238,12.8611,18.6057,14.1999,3.6395,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Vergara,0.1732
PNHZD00026D,PH137401017,2015-01-01,S,10.6458,6.2547,1.2157,10.0095,4.9852,0.9099,7.561,3.4634,0.5378,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Mauway,0.6574
PNHZD00026E,PH137401006,2015-01-01,S,6.8318,5.0651,6.2009,4.3454,3.996,5.4581,3.4697,4.2078,4.3349,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Barangka Itaas,0.1781
PNHZD00026F,PH137401002,2015-01-01,S,20.7151,45.273,3.6544,22.1584,39.3701,2.6854,24.5754,27.0304,1.777,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Bagong Silang,0.1393
PNHZD000270,PH137401010,2015-01-01,S,3.4692,0.2978,0.0,2.65,0.24,0.0,1.626,0.0526,0.0,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Hagdang Bato Itaas,0.173
PNHZD000271,PH137401025,2015-01-01,S,21.0622,18.2503,0.0,23.6893,10.106,0.0,20.999,2.9299,0.0,0.8078,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,San Jose,0.0888
PNHZD000272,PH137401014,2015-01-01,S,28.8311,15.5942,16.2548,26.7174,10.6596,14.9388,21.0622,8.1258,12.1688,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Hulo,0.3741
PNHZD000273,PH137401007,2015-01-01,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Burol,0.0205
PNHZD000274,PH137401020,2015-01-01,S,15.7943,31.0394,25.0652,18.3699,33.046,13.2491,24.1245,26.7368,0.3332,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Old Zañiga,0.2461
PNHZD000275,PH137401015,2015-01-01,S,10.2904,24.3357,62.4404,5.5194,39.7061,41.0512,15.2714,41.5956,9.7473,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Mabini-J. Rizal,0.1997
PNHZD000276,PH137401024,2015-01-01,S,12.1238,21.5303,19.4002,12.0568,25.0854,9.9996,16.3932,11.5323,2.084,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Poblacion,0.2261
PNHZD000277,PH137401019,2015-01-01,S,42.8972,15.7903,0.0438,42.552,9.0004,0.0,33.9898,4.0348,0.0,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,New Zañiga,0.2249
PNHZD000278,PH137401018,2015-01-01,S,11.9299,39.5617,20.955,12.2557,33.5213,16.4717,20.3244,6.3704,15.0283,0.0259,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Namayan,0.3856
PNHZD000279,PH137401022,2015-01-01,S,21.0475,33.5447,0.7565,22.6893,27.0354,0.3875,22.9265,17.9497,0.1845,0.0,0.0,0.0,National Capital Region,PH130000000,"NCR, Second District",PH137400000,City of Mandaluyong,PH137401000,Plainview,1.0839
